readyFrame:2
currentTime:49383.857373
count:4901
x y response
268 121 48
323 113 40
223 168 31
35 57 28
288 110 27
292 109 25
227 28 25
313 112 25
229 29 22
86 12 19
272 226 16
353 118 15
305 116 14
287 115 13
32 51 12
227 271 12
291 107 12
288 107 12
319 113 12
111 169 12
350 124 9
334 113 9
284 117 9
222 33 8
225 34 8
33 81 8
227 178 8
4 273 8
79 16 8
48 226 8
217 167 7
13 267 7
348 275 7
365 280 7
34 74 7
306 112 7
202 231 7
33 83 7
208 167 7
222 270 7
210 235 7
227 176 6
87 176 6
209 248 6
359 276 6
206 167 6
79 209 6
221 156 6
265 242 6
184 199 6
89 232 6
214 167 6
319 123 6
314 116 6
32 97 6
29 54 6
35 50 6
252 49 6
131 42 6
223 229 6
356 275 6
206 230 6
16 269 5
159 231 5
262 241 5
112 221 5
307 114 5
124 238 5
177 212 5
185 167 5
33 49 5
202 237 5
353 281 5
185 213 5
54 246 5
207 237 5
24 169 5
186 205 5
7 35 5
84 244 5
39 74 5
268 213 5
38 60 5
178 205 5
34 54 5
41 232 5
223 272 5
133 254 5
267 211 5
101 45 5
59 233 5
354 279 5
222 238 5
368 118 5
31 244 5
38 19 5
373 120 5
274 243 5
124 4 5
371 196 4
87 232 4
217 262 4
140 252 4
73 243 4
148 231 4
269 189 4
362 170 4
253 165 4
147 139 4
22 139 4
357 136 4
114 134 4
20 128 4
211 264 4
271 124 4
184 260 4
107 262 4
222 147 4
276 244 4
366 278 4
30 117 4
368 116 4
4 276 4
209 246 4
275 116 4
353 115 4
255 237 4
56 185 4
208 114 4
338 278 4
170 178 4
31 241 4
196 207 4
213 229 4
292 210 4
163 166 4
31 109 4
200 268 4
205 248 4
25 251 4
32 95 4
33 87 4
187 37 4
325 273 4
181 220 4
268 226 4
202 196 4
146 225 4
44 68 4
190 212 4
318 59 4
40 59 4
137 224 4
272 214 4
90 225 4
37 53 4
23 165 4
181 245 4
261 202 4
60 49 4
263 201 4
46 224 4
167 172 4
78 39 4
83 175 4
73 216 4
220 31 4
219 272 4
96 234 4
35 23 4
36 20 4
146 235 4
122 245 4
76 15 4
14 270 4
76 12 4
78 11 4
97 10 4
91 8 4
94 6 4
120 5 4
212 241 4
109 4 4
114 3 4
