readyFrame:0
currentTime:49383.275986
count:5009
x y response
295 170 54
250 220 45
300 278 43
350 160 42
298 278 31
56 105 30
339 159 26
316 153 22
314 158 21
255 77 20
332 163 19
319 157 18
51 212 17
53 98 15
315 164 12
102 64 12
137 221 11
55 97 11
346 159 11
75 280 10
73 280 10
52 101 10
250 283 10
200 231 9
194 231 9
355 159 9
293 175 8
55 127 8
257 229 8
250 32 8
361 159 8
298 167 8
138 275 8
252 83 7
311 166 7
257 80 7
247 36 7
249 80 7
293 168 7
111 227 7
233 284 7
255 37 7
204 263 7
182 272 7
378 162 7
255 230 7
246 219 7
62 108 7
60 108 7
340 162 7
87 63 6
61 111 6
197 233 6
54 144 6
297 175 6
358 160 6
132 223 6
250 78 6
90 91 6
313 161 6
248 225 6
237 219 6
19 81 6
253 79 6
219 219 5
249 76 5
166 149 5
140 224 5
79 209 5
117 93 5
297 164 5
243 33 5
334 159 5
294 261 5
251 261 5
63 113 5
332 159 5
105 284 5
317 160 5
336 161 5
142 279 5
241 283 5
374 162 5
225 25 5
199 259 5
197 235 5
219 282 5
188 252 5
349 170 5
102 273 5
53 150 5
56 117 5
93 59 5
251 228 5
107 59 5
110 270 5
85 64 5
55 122 5
76 66 5
228 246 5
214 219 4
259 27 4
328 163 4
52 175 4
255 284 4
317 163 4
253 228 4
180 250 4
137 273 4
228 248 4
89 60 4
97 61 4
197 270 4
351 170 4
168 121 4
242 170 4
236 197 4
52 169 4
166 61 4
131 114 4
378 157 4
239 200 4
98 197 4
106 64 4
210 249 4
140 230 4
203 269 4
5 9 4
320 171 4
141 54 4
61 124 4
259 226 4
252 226 4
236 226 4
377 181 4
51 71 4
201 268 4
250 210 4
86 268 4
251 75 4
62 115 4
325 162 4
15 283 4
206 38 4
179 267 4
48 216 4
250 215 4
102 271 4
177 244 4
137 225 4
53 148 4
21 80 4
222 256 4
229 218 4
232 216 4
61 40 4
245 224 4
329 161 4
82 271 4
52 180 4
121 56 4
214 83 4
22 284 4
295 275 4
170 86 4
211 86 4
223 223 4
319 165 4
256 34 4
198 281 4
157 91 4
204 250 4
207 281 4
208 284 4
167 221 4
259 228 4
19 277 4
78 98 4
58 99 4
