readyFrame:4
currentTime:49384.343735
count:4910
x y response
55 157 62
57 140 33
82 177 22
160 156 20
59 154 19
260 64 18
109 131 17
64 154 15
64 178 14
143 139 14
160 152 13
57 165 12
159 150 11
67 179 11
365 94 11
78 178 11
65 165 11
58 167 11
135 163 9
75 176 9
138 138 8
54 161 8
88 138 8
112 131 8
91 172 7
93 137 7
62 169 7
362 93 7
56 162 7
361 169 7
67 153 6
149 145 6
270 5 6
157 161 6
347 121 5
64 182 5
359 162 5
306 141 5
60 169 5
330 140 5
111 134 5
339 110 5
342 106 5
141 106 5
345 105 5
367 99 5
329 98 5
266 29 5
269 11 5
361 95 5
87 179 5
64 187 5
374 166 5
158 165 5
62 178 5
43 205 5
314 255 4
66 186 4
285 165 4
310 253 4
325 273 4
362 232 4
93 172 4
59 159 4
74 261 4
354 157 4
294 179 4
94 179 4
59 194 4
62 181 4
109 273 4
113 144 4
153 162 4
72 179 4
82 159 4
361 159 4
50 221 4
274 218 4
371 177 4
99 136 4
103 135 4
89 172 4
56 272 4
355 113 4
357 123 4
247 169 4
243 114 4
345 112 4
156 151 4
275 150 4
273 150 4
114 159 4
322 103 4
210 149 4
364 99 4
351 99 4
154 149 4
326 98 4
363 97 4
85 248 4
57 281 4
61 157 4
256 68 4
229 66 4
95 171 4
290 56 4
263 45 4
314 148 4
354 27 4
62 27 4
267 25 4
358 23 4
312 147 4
103 146 4
