readyFrame:3
currentTime:49384.107578
count:5052
x y response
31 164 67
32 148 28
58 181 23
131 160 23
226 68 19
82 138 17
40 183 15
38 169 14
42 184 13
40 169 12
33 171 12
113 165 11
330 92 11
84 138 11
62 146 11
35 173 11
296 94 10
41 171 10
51 179 9
61 155 9
111 144 9
32 168 9
35 161 9
84 150 8
51 185 8
128 151 8
49 183 8
376 177 7
53 157 7
30 168 7
57 156 7
49 158 7
64 145 7
234 20 7
128 164 6
64 154 6
67 153 6
236 6 6
116 163 6
125 161 6
375 175 5
131 152 5
298 157 5
64 177 5
126 154 5
130 163 5
80 151 5
376 186 5
240 149 5
372 188 5
243 151 5
72 143 5
76 142 5
312 112 5
47 184 5
374 137 5
329 95 5
119 149 5
18 209 5
129 166 5
233 27 5
285 16 5
254 163 4
251 162 4
176 153 4
325 167 4
61 179 4
28 201 4
14 201 4
176 205 4
75 152 4
276 177 4
122 163 4
367 247 4
45 183 4
280 147 4
224 163 4
108 208 4
139 155 4
278 147 4
354 263 4
374 249 4
374 188 4
308 171 4
82 171 4
89 149 4
37 200 4
71 153 4
206 183 4
304 170 4
43 192 4
356 191 4
325 158 4
38 174 4
136 160 4
107 145 4
238 151 4
317 252 4
62 185 4
120 163 4
77 140 4
278 139 4
68 182 4
252 152 4
38 164 4
372 133 4
299 129 4
330 124 4
278 116 4
356 221 4
309 108 4
330 104 4
41 188 4
367 164 4
201 273 4
51 78 4
360 184 4
332 67 4
218 30 4
55 216 4
160 27 4
361 180 4
37 176 4
235 14 4
316 145 4
